location_clean,price_myr,size_sqft,rooms_num,bathrooms_num,carparks_num,property_base,property_subtype,furnishing_clean
Bukit Jalil,1050000.0,1772.0,5,4,4,Condominium,Standard,Partly Furnished
Bukit Jalil,1200000.0,1930.0,6,4,4,Condominium,Standard,Partly Furnished
Bukit Jalil,900000.0,1513.0,5,3,2,Condominium,Standard,Partly Furnished
Damansara Heights,2251800.0,1668.0,3,4,2,Serviced Residence,Standard,Partly Furnished
Mont Kiara,1550000.0,1496.0,4,4,2,Condominium,Standard,Partly Furnished
Setapak,780000.0,1368.0,3,3,2,Condominium,Corner,Partly Furnished
Desa ParkCity,1380000.0,1292.0,2,2,2,Condominium,Intermediate,Partly Furnished
KLCC,1268000.0,1619.0,3,3,1,Condominium,Corner,Fully Furnished
KLCC,2600000.0,1184.0,2,2,1,Serviced Residence,Intermediate,Fully Furnished
KLCC,1950000.0,1076.0,2,2,1,Serviced Residence,Intermediate,Partly Furnished
KLCC,1400000.0,1050.0,2,2,1,Serviced Residence,Corner,Fully Furnished
Mont Kiara,1800000.0,1830.0,4,4,2,Condominium,Standard,Partly Furnished
Segambut,635000.0,1643.0,4,4,2,Condominium,Corner,Partly Furnished
KL City,1207000.0,685.0,0,1,1,Serviced Residence,Intermediate,Partly Furnished
KL City,1177000.0,717.0,2,1,1,Serviced Residence,Intermediate,Partly Furnished
Wangsa Maju,700000.0,1152.0,3,2,2,Condominium,Standard,Partly Furnished
Mont Kiara,1900000.0,2411.0,4,4,0,Condominium,Standard,Fully Furnished
KLCC,1300000.0,871.0,2,2,2,Condominium,Standard,Fully Furnished
Sentul,960000.0,1488.0,4,4,2,Condominium,Corner,Unfurnished
KL City,490000.0,1065.0,4,2,2,Condominium,Standard,Unfurnished
Desa ParkCity,2380000.0,2454.0,5,4,3,Condominium,Corner,Fully Furnished
Mont Kiara,1900000.0,1830.0,5,4,2,Condominium,Corner,Partly Furnished
KLCC,2700000.0,1195.0,2,2,2,Serviced Residence,Standard,Partly Furnished
KLCC,1900000.0,915.0,3,2,1,Condominium,Standard,Fully Furnished
KLCC,1300000.0,871.0,2,2,0,Condominium,Corner,Fully Furnished
KLCC,2000000.0,1350.0,3,2,1,Serviced Residence,Corner,Fully Furnished
Batu Caves,676775.0,1265.0,4,3,4,Serviced Residence,Intermediate,Partly Furnished
Mont Kiara,1830000.0,1830.0,5,4,2,Condominium,Corner,Partly Furnished
City Centre,1750000.0,1442.0,3,3,1,Serviced Residence,Standard,Partly Furnished
Bukit Jalil,1200000.0,1930.0,6,4,4,Condominium,Corner,Partly Furnished
KLCC,2300000.0,1046.0,1,2,1,Serviced Residence,Standard,Partly Furnished
Mont Kiara,1600000.0,1878.0,4,3,2,Condominium,Standard,Partly Furnished
Mont Kiara,1291000.0,2069.0,6,4,3,Condominium,Standard,Partly Furnished
