location_clean,price_myr,size_sqft,rooms_num,bathrooms_num,carparks_num,property_base,property_subtype,furnishing_clean
Ampang,920000.0,1066.0,2,2,1,Serviced Residence,Standard,Fully Furnished
Bukit Jalil,700000.0,1475.0,4,3,2,Condominium,Standard,Partly Furnished
Kuchai Lama,650000.0,1607.0,3,2,2,Condominium,Standard,Partly Furnished
Kuchai Lama,620000.0,1570.0,3,2,2,Condominium,Standard,Unfurnished
Kuchai Lama,570000.0,1328.0,3,2,2,Condominium,Standard,Unfurnished
Setapak,400000.0,1130.0,3,2,1,Condominium,Standard,Unfurnished
Sri Petaling,600000.0,1279.0,4,3,2,Serviced Residence,Standard,Fully Furnished
Taman Desa,620000.0,1110.0,3,2,2,Condominium,Standard,Partly Furnished
Bukit Jalil,390000.0,1222.0,3,2,0,Condominium,Standard,Partly Furnished
Sri Petaling,530000.0,980.0,3,2,2,Serviced Residence,Standard,Fully Furnished
Cheras,560000.0,1364.0,4,2,2,Condominium,Standard,Unfurnished
Cheras,490000.0,1142.0,4,2,2,Condominium,Standard,Unfurnished
Ampang,630000.0,853.0,1,1,0,Serviced Residence,Standard,Partly Furnished
Setapak,490000.0,1113.0,3,2,2,Serviced Residence,Standard,Fully Furnished
Sri Petaling,370000.0,1209.0,3,2,1,Condominium,Standard,Partly Furnished
Sri Petaling,730000.0,1541.0,4,4,2,Condominium,Standard,Partly Furnished
Taman Melawati,450000.0,1007.0,3,2,1,Serviced Residence,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),660000.0,1440.0,4,4,2,Condominium,Standard,Partly Furnished
Bukit Jalil,900000.0,2173.0,3,2,3,Condominium,Standard,Partly Furnished
Salak Selatan,620000.0,1044.0,3,2,2,Serviced Residence,Standard,Partly Furnished
Taman Desa,460000.0,1210.0,3,2,1,Condominium,Standard,Partly Furnished
Bukit Bintang,550000.0,1200.0,3,2,1,Condominium,Standard,Partly Furnished
Kuchai Lama,460000.0,935.0,3,2,2,Serviced Residence,Standard,Partly Furnished
Sungai Besi,550000.0,1100.0,3,2,2,Condominium,Standard,Unfurnished
Sungai Besi,530000.0,1180.0,3,2,2,Condominium,Standard,Partly Furnished
KLCC,810000.0,980.0,1,1,1,Serviced Residence,Standard,Partly Furnished
Jalan Kuching,420000.0,1100.0,3,2,1,Condominium,Standard,Fully Furnished
Bukit Jalil,280000.0,775.0,2,1,1,Condominium,Standard,Partly Furnished
Keramat,635000.0,943.0,2,2,2,Condominium,Standard,Partly Furnished
Bukit Jalil,620000.0,1234.0,3,2,2,Condominium,Standard,Partly Furnished
City Centre,1000000.0,1453.0,2,2,1,Condominium,Standard,Partly Furnished
Sentul,1000000.0,1576.0,4,4,2,Condominium,Standard,Partly Furnished
Ampang,630000.0,781.0,1,1,1,Serviced Residence,Standard,Fully Furnished
Jalan Klang Lama (Old Klang Road),360000.0,950.0,3,2,1,Serviced Residence,Standard,Partly Furnished
KLCC,1300000.0,1700.0,3,3,2,Condominium,Standard,Fully Furnished
Cheras,410000.0,1060.0,3,2,1,Condominium,Standard,Partly Furnished
Kuchai Lama,720000.0,1711.0,4,3,2,Condominium,Standard,Partly Furnished
Setapak,590000.0,1500.0,4,2,2,Condominium,Intermediate,Unfurnished
Wangsa Maju,530000.0,1267.0,4,3,1,Condominium,Intermediate,Partly Furnished
Setapak,470000.0,1313.0,4,2,1,Condominium,Intermediate,Partly Furnished
Setiawangsa,520000.0,1200.0,3,2,1,Condominium,Standard,Partly Furnished
Bukit Jalil,1680000.0,2028.0,4,3,3,Condominium,Corner,Partly Furnished
Mont Kiara,1400000.0,1596.0,4,3,2,Condominium,Standard,Fully Furnished
Mont Kiara,1480000.0,1900.0,4,3,2,Condominium,Standard,Fully Furnished
Bandar Menjalara,433000.0,3.3,1,0,1,Serviced Residence,Standard,Partly Furnished
KLCC,2050000.0,1076.0,2,2,1,Serviced Residence,Corner,Fully Furnished
Setapak,600000.0,1473.0,3,2,2,Condominium,Corner,Fully Furnished
Pantai,700000.0,1235.0,3,2,2,Condominium,Intermediate,Fully Furnished
KLCC,1818450.0,2250.0,5,4,0,Condominium,Standard,Partly Furnished
Mont Kiara,830000.0,815.0,2,2,1,Condominium,Standard,Fully Furnished
Bukit Jalil,770000.0,971.0,3,2,2,Serviced Residence,Corner,Fully Furnished
KLCC,2400000.0,1600.0,2,3,0,Condominium,Corner,Partly Furnished
KLCC,2930000.0,2339.0,4,5,0,Condominium,Corner,Partly Furnished
KLCC,2500000.0,1689.0,2,3,0,Condominium,Corner,Unfurnished
KLCC,2158400.0,1349.0,1,2,0,Condominium,Corner,Partly Furnished
Mont Kiara,1570000.0,1400.0,4,3,2,Condominium,Standard,Partly Furnished
Wangsa Maju,630000.0,1348.0,4,2,2,Condominium,Standard,Partly Furnished
Ampang,1330000.0,1733.0,4,4,2,Condominium,Standard,Partly Furnished
Wangsa Maju,620000.0,1246.0,3,2,1,Condominium,Standard,Partly Furnished
Setapak,480000.0,1095.0,3,2,2,Serviced Residence,Corner,Partly Furnished
Taman Desa,569000.0,715.0,2,2,1,Serviced Residence,Standard,Fully Furnished
KLCC,2100000.0,1076.0,2,2,0,Serviced Residence,Intermediate,Partly Furnished
Taman Desa,615000.0,715.0,2,2,1,Serviced Residence,Standard,Unfurnished
Sungai Besi,420000.0,1051.0,3,2,2,Serviced Residence,Standard,Partly Furnished
Kuchai Lama,643000.0,1450.0,3,2,2,Condominium,Intermediate,Fully Furnished
Bukit Jalil,700000.0,1457.0,3,2,0,Condominium,Corner,Partly Furnished
Kepong,580000.0,1162.0,4,3,2,Serviced Residence,Standard,Unfurnished
KLCC,2930000.0,2343.0,5,4,0,Serviced Residence,Standard,Fully Furnished
Pantai,680000.0,1150.0,2,2,1,Condominium,Corner,Partly Furnished
Pantai,500000.0,750.0,1,1,1,Condominium,Intermediate,Fully Furnished
Pantai,530000.0,750.0,1,1,0,Condominium,Intermediate,Partly Furnished
Pantai,530000.0,750.0,1,1,1,Condominium,Intermediate,Fully Furnished
Pantai,680000.0,1250.0,2,2,1,Condominium,Corner,Fully Furnished
Pantai,680000.0,1300.0,3,2,1,Condominium,Corner,Fully Furnished
Pantai,530000.0,750.0,1,1,1,Condominium,Corner,Fully Furnished
Pantai,590000.0,1150.0,2,2,1,Condominium,Corner,Fully Furnished
Pantai,420000.0,750.0,1,1,1,Condominium,Intermediate,Fully Furnished
Pantai,640000.0,1250.0,3,2,1,Condominium,Corner,Fully Furnished
Pantai,630000.0,1250.0,2,2,1,Condominium,Corner,Fully Furnished
Pantai,750000.0,1250.0,3,2,1,Condominium,Corner,Fully Furnished
Pantai,480000.0,750.0,1,1,1,Condominium,Corner,Fully Furnished
Pantai,590000.0,1200.0,2,2,1,Condominium,Corner,Fully Furnished
Pantai,480000.0,750.0,1,1,1,Condominium,Intermediate,Fully Furnished
Pantai,590000.0,1250.0,3,2,1,Condominium,Corner,Fully Furnished
Pantai,480000.0,750.0,1,1,1,Condominium,Corner,Partly Furnished
Pantai,550000.0,1150.0,3,2,1,Condominium,Corner,Unfurnished
Setapak,500000.0,1280.0,3,2,1,Serviced Residence,Intermediate,Unfurnished
Pantai,650000.0,1250.0,3,2,1,Condominium,Corner,Partly Furnished
Pantai,680000.0,1300.0,2,2,1,Condominium,Corner,Fully Furnished
Pantai,660000.0,1300.0,3,2,2,Condominium,Corner,Unfurnished
Pantai,710000.0,1250.0,2,2,1,Condominium,Corner,Fully Furnished
Wangsa Maju,1100000.0,1909.0,5,3,0,Condominium,Corner,Fully Furnished
Jalan Kuching,390000.0,1100.0,3,2,1,Condominium,Corner,Fully Furnished
Cheras,399000.0,610.0,0,1,0,Serviced Residence,Standard,Fully Furnished
Cheras,418000.0,825.0,2,2,1,Condominium,Standard,Unfurnished
Cheras,590000.0,1121.0,3,2,0,Condominium,Corner,Partly Furnished
City Centre,1160000.0,1141.0,1,2,1,Serviced Residence,Corner,Fully Furnished
Cheras,1290000.0,2059.0,4,4,4,Condominium,Corner,Unfurnished
Cheras,280000.0,910.0,3,2,1,Condominium,Corner,Unfurnished
Cheras,299000.0,810.0,3,2,1,Condominium,Intermediate,Unfurnished
Cheras,990000.0,1672.0,4,4,2,Condominium,Corner,Partly Furnished
Cheras,375000.0,922.0,3,2,2,Condominium,Intermediate,Unfurnished
Cheras,380000.0,960.0,3,2,1,Condominium,Intermediate,Unfurnished
Cheras,380000.0,922.0,3,2,1,Condominium,Intermediate,Partly Furnished
Dutamas,926228.0,1719.0,4,4,2,Condominium,Corner,Partly Furnished
Segambut,530000.0,1205.0,3,2,1,Condominium,Intermediate,Fully Furnished
Jalan Klang Lama (Old Klang Road),350000.0,950.0,3,2,1,Serviced Residence,Corner,Fully Furnished
Sentul,660000.0,1355.0,4,2,2,Condominium,Standard,Fully Furnished
Jalan Ipoh,610000.0,978.0,3,2,2,Condominium,Standard,Partly Furnished
Setapak,420000.0,750.0,3,2,1,Condominium,Intermediate,Partly Furnished
Sri Hartamas,380000.0,500.0,0,1,0,Serviced Residence,Standard,Fully Furnished
Sri Hartamas,418000.0,595.0,0,1,0,Serviced Residence,Studio,Fully Furnished
Sri Hartamas,688000.0,900.0,1,1,0,Serviced Residence,Standard,Fully Furnished
KL Sentral,1830000.0,820.0,1,1,1,Serviced Residence,Corner,Partly Furnished
Segambut,755000.0,1893.0,0,3,2,Condominium,Corner,Partly Furnished
Bukit Bintang,690000.0,506.0,0,1,2,Serviced Residence,Standard,Fully Furnished
Bukit Jalil,560000.0,1032.0,2,2,2,Condominium,Intermediate,Partly Furnished
Jalan Klang Lama (Old Klang Road),498000.0,1212.0,0,2,1,Condominium,Standard,Partly Furnished
Segambut,680000.0,1643.0,4,4,2,Condominium,Corner,Partly Furnished
Segambut,490000.0,1206.0,3,2,1,Condominium,Standard,Partly Furnished
Bandar Menjalara,350000.0,850.0,4,3,1,Serviced Residence,Corner,Unfurnished
Segambut,520000.0,713.0,2,2,1,Serviced Residence,Corner,Unfurnished
Sentul,630000.0,1275.0,3,2,1,Condominium,Intermediate,Fully Furnished
Segambut,850000.0,1361.0,3,2,1,Condominium,Intermediate,Fully Furnished
Jalan Klang Lama (Old Klang Road),550000.0,1200.0,3,2,1,Condominium,Intermediate,Partly Furnished
Segambut,780000.0,1259.0,4,3,2,Condominium,Corner,Partly Furnished
Segambut,830000.0,1306.0,4,0,2,Condominium,Corner,Partly Furnished
Jalan Klang Lama (Old Klang Road),499000.0,1336.0,4,2,1,Condominium,Intermediate,Partly Furnished
Bandar Menjalara,380000.0,850.0,0,0,1,Serviced Residence,Intermediate,Unfurnished
Segambut,730000.0,1643.0,4,4,2,Condominium,Corner,Partly Furnished
Jalan Klang Lama (Old Klang Road),480000.0,1222.0,3,2,1,Condominium,Intermediate,Partly Furnished
Bandar Menjalara,435000.0,1076.0,4,2,2,Condominium,Standard,Fully Furnished
Bukit Tunku (Kenny Hills),1550000.0,2100.0,4,3,1,Condominium,Standard,Fully Furnished
Bandar Menjalara,400000.0,926.0,4,2,1,Serviced Residence,Standard,Partly Furnished
Bandar Menjalara,370000.0,1076.0,3,2,1,Serviced Residence,Corner,Partly Furnished
Bandar Menjalara,620000.0,1260.0,3,2,1,Condominium,Standard,Partly Furnished
Kepong,525000.0,1074.0,3,2,2,Condominium,Corner,Fully Furnished
Sentul,600000.0,1230.0,3,2,1,Condominium,Standard,Partly Furnished
Jalan Ipoh,560000.0,1276.0,3,3,1,Condominium,Standard,Partly Furnished
Bandar Menjalara,820000.0,1292.0,3,2,1,Condominium,Standard,Partly Furnished
Bandar Menjalara,380000.0,850.0,4,2,1,Serviced Residence,Standard,Partly Furnished
Bandar Menjalara,530000.0,1076.0,3,2,2,Condominium,Intermediate,Partly Furnished
Bandar Menjalara,360000.0,808.0,3,2,1,Serviced Residence,Standard,Partly Furnished
Bangsar,730000.0,750.0,1,1,1,Serviced Residence,Standard,Partly Furnished
Segambut,750000.0,1021.0,2,2,0,Condominium,Standard,Fully Furnished
Bukit Bintang,1100000.0,892.0,2,1,0,Serviced Residence,Standard,Fully Furnished
Salak Selatan,545000.0,845.0,2,2,2,Serviced Residence,Standard,Fully Furnished
Taman Desa,480000.0,960.0,2,2,1,Condominium,Standard,Fully Furnished
KLCC,986000.0,681.0,2,2,1,Serviced Residence,Intermediate,Fully Furnished
Jalan Kuching,550000.0,1260.0,4,2,1,Condominium,Standard,Fully Furnished
Jalan Kuching,400000.0,1100.0,3,2,1,Condominium,Corner,Unfurnished
Jalan Klang Lama (Old Klang Road),650000.0,1212.0,3,2,1,Condominium,Standard,Fully Furnished
Setapak,660000.0,1800.0,4,2,2,Condominium,Corner,Partly Furnished
Sentul,680000.0,1081.0,4,2,3,Condominium,Corner,Fully Furnished
Sentul,580000.0,1081.0,3,2,3,Condominium,Corner,Partly Furnished
Kepong,410000.0,1150.0,3,2,1,Condominium,Intermediate,Unfurnished
Kepong,1300.0,1150.0,3,2,1,Condominium,Standard,Partly Furnished
Sentul,660000.0,1355.0,4,2,2,Condominium,Standard,Partly Furnished
Mont Kiara,700000.0,1178.0,3,2,2,Condominium,Standard,Fully Furnished
Sentul,440000.0,1007.0,3,2,1,Condominium,Intermediate,Fully Furnished
Kepong,380000.0,945.0,3,2,0,Condominium,Standard,Unfurnished
Setapak,420000.0,1009.0,3,2,2,Serviced Residence,Standard,Unfurnished
Kepong,430000.0,1150.0,3,2,0,Condominium,Intermediate,Unfurnished
Jalan Kuching,330000.0,1024.0,3,2,1,Condominium,Standard,Unfurnished
Kepong,430000.0,980.0,4,2,1,Condominium,Corner,Partly Furnished
Sentul,700000.0,1087.0,3,2,1,Condominium,Standard,Fully Furnished
Sri Hartamas,868000.0,1800.0,4,3,1,Condominium,Standard,Fully Furnished
Taman Desa,410000.0,928.0,3,2,1,Condominium,Standard,Partly Furnished
Taman Desa,448000.0,600.0,1,1,1,Condominium,Standard,Fully Furnished
Taman Desa,730000.0,1235.0,4,2,1,Condominium,Standard,Fully Furnished
Taman Desa,399000.0,928.0,3,2,1,Condominium,Standard,Partly Furnished
KLCC,3700.0,1031.0,2,1,0,Serviced Residence,Corner,Fully Furnished
Mont Kiara,1100000.0,1448.0,4,4,2,Condominium,Corner,Fully Furnished
KLCC,520000.0,453.0,0,1,0,Serviced Residence,Intermediate,Fully Furnished
KLCC,900000.0,926.0,2,2,0,Serviced Residence,Intermediate,Fully Furnished
Ampang,3500.0,860.0,2,2,1,Serviced Residence,Standard,Fully Furnished
Bukit Bintang,650000.0,650.0,2,2,0,Serviced Residence,Intermediate,Fully Furnished
Ampang,650000.0,910.0,0,2,1,Serviced Residence,Intermediate,Fully Furnished
Mont Kiara,900000.0,1448.0,4,4,2,Condominium,Corner,Fully Furnished
KLCC,3200.0,720.0,2,1,0,Serviced Residence,Corner,Fully Furnished
KLCC,1100000.0,1410.0,3,2,0,Serviced Residence,Standard,Fully Furnished
Damansara Heights,1280000.0,1400.0,4,3,2,Condominium,Corner,Partly Furnished
Damansara Heights,1900000.0,1950.0,4,4,2,Condominium,Intermediate,Fully Furnished
Damansara Heights,1492000.0,1148.0,2,2,0,Serviced Residence,Corner,Partly Furnished
Damansara Heights,2500000.0,1895.0,4,3,0,Serviced Residence,Corner,Partly Furnished
Jalan Kuching,530000.0,1200.0,3,2,0,Condominium,Intermediate,Partly Furnished
Taman Desa,638000.0,1130.0,3,2,1,Condominium,Standard,Partly Furnished
Taman Desa,660000.0,1160.0,3,2,0,Condominium,Intermediate,Fully Furnished
Setapak,430000.0,1231.0,3,2,1,Condominium,Intermediate,Partly Furnished
Desa ParkCity,1170000.0,1398.0,3,2,0,Condominium,Intermediate,Partly Furnished
Desa ParkCity,1350000.0,1346.0,3,2,2,Condominium,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),1300000.0,2128.0,5,4,3,Condominium,Intermediate,Fully Furnished
Setapak,490000.0,1313.0,4,2,2,Condominium,Intermediate,Fully Furnished
Setapak,440000.0,861.0,2,2,1,Condominium,Corner,Partly Furnished
Damansara Heights,1250000.0,904.0,1,2,1,Serviced Residence,Intermediate,Partly Furnished
Damansara Heights,1490000.0,1194.0,2,2,2,Serviced Residence,Intermediate,Partly Furnished
Damansara Heights,1565000.0,1163.0,2,2,2,Serviced Residence,Intermediate,Partly Furnished
Desa ParkCity,1180000.0,1432.0,3,2,0,Condominium,Standard,Fully Furnished
Setapak,435000.0,1231.0,3,2,1,Condominium,Intermediate,Partly Furnished
Setapak,530000.0,1313.0,4,2,2,Condominium,Intermediate,Partly Furnished
Setapak,730000.0,2500.0,8,3,2,Condominium,Intermediate,Partly Furnished
Setapak,550000.0,1646.0,3,2,1,Condominium,Corner,Fully Furnished
Setapak,260000.0,845.0,3,2,1,Condominium,Corner,Partly Furnished
Setapak,690000.0,1012.0,3,2,2,Serviced Residence,Standard,Unfurnished
Setapak,540000.0,1383.0,4,2,2,Condominium,Corner,Fully Furnished
Setapak,950000.0,1680.0,4,4,2,Condominium,Corner,Partly Furnished
Setapak,948000.0,1680.0,4,4,2,Condominium,Corner,Partly Furnished
Setapak,520000.0,1313.0,4,2,1,Condominium,Intermediate,Partly Furnished
Setapak,450000.0,861.0,2,2,1,Condominium,Intermediate,Partly Furnished
Setapak,560000.0,1333.0,3,2,2,Condominium,Intermediate,Fully Furnished
Setapak,570000.0,1450.0,3,2,2,Condominium,Corner,Partly Furnished
Desa ParkCity,1650000.0,2066.0,4,4,0,Condominium,Standard,Fully Furnished
Setapak,530000.0,1473.0,5,2,2,Condominium,Intermediate,Partly Furnished
Desa ParkCity,1950000.0,1743.0,4,4,0,Condominium,Corner,Unfurnished
Setapak,630000.0,1675.0,4,2,2,Condominium,Corner,Partly Furnished
Setapak,500000.0,1272.0,4,2,2,Condominium,Corner,Partly Furnished
Setapak,410000.0,1231.0,3,2,1,Condominium,Intermediate,Partly Furnished
Setapak,450000.0,1231.0,3,2,2,Condominium,Intermediate,Partly Furnished
Setapak,480000.0,1333.0,4,2,2,Condominium,Intermediate,Partly Furnished
Setapak,430000.0,1272.0,4,2,1,Condominium,Corner,Partly Furnished
Setapak,435000.0,1272.0,4,2,2,Condominium,Intermediate,Partly Furnished
Setapak,435000.0,1272.0,4,2,1,Condominium,Intermediate,Unfurnished
Damansara Heights,2020000.0,1668.0,3,4,2,Serviced Residence,Corner,Partly Furnished
Desa ParkCity,1180000.0,1432.0,4,3,0,Condominium,Standard,Partly Furnished
Ampang,799420.0,888.0,3,2,0,Serviced Residence,Intermediate,Partly Furnished
Desa ParkCity,1180000.0,1389.0,3,2,2,Condominium,Standard,Partly Furnished
Desa ParkCity,820000.0,969.0,2,1,1,Condominium,Standard,Partly Furnished
Desa ParkCity,2000000.0,2100.0,3,4,0,Condominium,Intermediate,Unfurnished
Desa ParkCity,1350000.0,1480.0,2,3,0,Condominium,Intermediate,Unfurnished
Setapak,365000.0,682.0,2,1,1,Serviced Residence,Intermediate,Partly Furnished
Desa ParkCity,850000.0,1141.0,3,2,0,Condominium,Standard,Fully Furnished
Desa ParkCity,1400000.0,1367.0,4,2,0,Condominium,Standard,Partly Furnished
Desa ParkCity,1180000.0,1582.0,3,2,0,Condominium,Standard,Unfurnished
Damansara Heights,1450000.0,904.0,1,1,1,Serviced Residence,Intermediate,Fully Furnished
Desa ParkCity,1700000.0,2066.0,4,4,0,Condominium,Intermediate,Fully Furnished
Desa ParkCity,1380000.0,1292.0,2,2,2,Condominium,Intermediate,Fully Furnished
Desa ParkCity,1550000.0,1346.0,5,2,2,Condominium,Intermediate,Fully Furnished
Desa ParkCity,1660000.0,1777.0,4,4,2,Condominium,Standard,Partly Furnished
Cheras,800000.0,1272.0,3,2,2,Serviced Residence,Intermediate,Fully Furnished
Desa ParkCity,1400000.0,1377.0,3,3,0,Condominium,Standard,Partly Furnished
Desa ParkCity,1300000.0,1357.0,4,3,0,Condominium,Standard,Partly Furnished
Desa ParkCity,1300000.0,1300.0,2,2,0,Condominium,Standard,Partly Furnished
Setapak,690000.0,2110.0,3,2,2,Serviced Residence,Duplex,Fully Furnished
Desa ParkCity,1300000.0,1430.0,4,3,0,Condominium,Standard,Fully Furnished
Desa ParkCity,880000.0,1184.0,3,2,0,Condominium,Standard,Fully Furnished
Desa ParkCity,1400000.0,1346.0,3,2,2,Condominium,Standard,Partly Furnished
Cheras,588000.0,897.0,3,2,2,Serviced Residence,Intermediate,Partly Furnished
Desa ParkCity,1080000.0,1389.0,3,2,2,Condominium,Standard,Partly Furnished
Cheras,730000.0,1054.0,4,3,2,Serviced Residence,Intermediate,Fully Furnished
Desa ParkCity,2000000.0,2100.0,4,4,2,Condominium,Standard,Partly Furnished
Setapak,625000.0,1476.0,5,3,2,Serviced Residence,Corner,Partly Furnished
Desa ParkCity,1500000.0,1777.0,4,3,2,Condominium,Corner,Unfurnished
Desa ParkCity,1350000.0,1572.0,4,3,2,Condominium,Intermediate,Partly Furnished
KLCC,2500000.0,2343.0,5,5,2,Serviced Residence,Corner,Partly Furnished
KLCC,1900000.0,1683.0,3,2,2,Condominium,Intermediate,Fully Furnished
KLCC,2100000.0,1591.0,4,4,2,Serviced Residence,Intermediate,Partly Furnished
Mont Kiara,800000.0,1260.0,3,2,1,Serviced Residence,Standard,Partly Furnished
Mont Kiara,865000.0,1248.0,3,2,1,Serviced Residence,Standard,Fully Furnished
Mont Kiara,900000.0,1399.0,3,2,4,Condominium,Standard,Partly Furnished
Mont Kiara,678000.0,1250.0,3,2,1,Condominium,Standard,Partly Furnished
Mont Kiara,650000.0,1025.0,3,2,1,Condominium,Standard,Fully Furnished
City Centre,2300000.0,1614.0,3,3,2,Serviced Residence,Corner,Fully Furnished
City Centre,2000000.0,1442.0,3,3,2,Serviced Residence,Corner,Fully Furnished
Jalan Klang Lama (Old Klang Road),650000.0,1399.0,3,0,1,Serviced Residence,Corner,Partly Furnished
Jalan Klang Lama (Old Klang Road),380000.0,775.0,2,0,1,Serviced Residence,Intermediate,Fully Furnished
KLCC,2600000.0,1459.0,3,2,1,Serviced Residence,Standard,Partly Furnished
Mont Kiara,620000.0,931.0,2,2,1,Condominium,Standard,Partly Furnished
Setiawangsa,498000.0,1200.0,3,2,1,Condominium,Standard,Partly Furnished
Taman Melawati,510000.0,1007.0,3,2,1,Serviced Residence,Standard,Fully Furnished
Jalan Kuching,530000.0,1200.0,3,2,1,Condominium,Standard,Partly Furnished
Setapak,439000.0,1207.0,3,2,1,Condominium,Standard,Fully Furnished
Jalan Klang Lama (Old Klang Road),358000.0,950.0,3,2,1,Serviced Residence,Intermediate,Partly Furnished
Jalan Kuching,415000.0,1050.0,3,2,2,Condominium,Intermediate,Partly Furnished
Pantai,750000.0,1019.0,3,2,2,Condominium,Intermediate,Partly Furnished
KL Eco City,1300000.0,980.0,2,2,1,Condominium,Intermediate,Fully Furnished
KLCC,875000.0,650.0,2,1,1,Serviced Residence,Standard,Fully Furnished
Taman Tun Dr Ismail,1100000.0,1313.0,3,2,3,Serviced Residence,Standard,Fully Furnished
KL Eco City,1623840.0,1647.0,4,3,0,Condominium,Standard,Partly Furnished
KLCC,1701000.0,2100.0,4,3,2,Condominium,Corner,Fully Furnished
Mid Valley City,560000.0,667.0,1,2,1,Condominium,Corner,Fully Furnished
Seputeh,560000.0,667.0,1,2,1,Condominium,Corner,Fully Furnished
KLCC,1250000.0,792.0,3,2,0,Serviced Residence,Standard,Unfurnished
Mont Kiara,1490000.0,1880.0,4,4,2,Condominium,Standard,Fully Furnished
Mont Kiara,850000.0,931.0,2,2,0,Serviced Residence,Standard,Fully Furnished
Sungai Besi,600000.0,1260.0,3,2,0,Condominium,Corner,Unfurnished
KLCC,1999999.0,1299.0,3,2,1,Serviced Residence,Standard,Fully Furnished
Bukit Jalil,770000.0,971.0,3,2,2,Serviced Residence,Standard,Fully Furnished
Ampang,590000.0,855.0,0,1,0,Serviced Residence,Standard,Unfurnished
Mont Kiara,1190000.0,1703.0,4,3,0,Condominium,Standard,Partly Furnished
Mont Kiara,1370000.0,2028.0,5,3,0,Condominium,Standard,Partly Furnished
Mont Kiara,770000.0,1268.0,3,2,1,Condominium,Standard,Fully Furnished
Mont Kiara,705000.0,913.0,2,2,0,Serviced Residence,Intermediate,Fully Furnished
Mont Kiara,1250000.0,2513.0,5,3,0,Condominium,Standard,Partly Furnished
Jalan Klang Lama (Old Klang Road),399000.0,852.0,3,2,1,Serviced Residence,Standard,Partly Furnished
Mont Kiara,850000.0,1428.0,4,3,2,Serviced Residence,Standard,Fully Furnished
Mont Kiara,1370000.0,2163.0,4,4,0,Condominium,Standard,Partly Furnished
Mont Kiara,2250000.0,2498.0,4,4,0,Condominium,Intermediate,Partly Furnished
Mont Kiara,1900000.0,2411.0,4,4,0,Condominium,Standard,Partly Furnished
Mont Kiara,1230000.0,1668.0,4,4,0,Condominium,Intermediate,Partly Furnished
Mont Kiara,730000.0,1280.0,3,2,0,Condominium,Intermediate,Partly Furnished
Mont Kiara,1730000.0,2495.0,5,5,0,Condominium,Intermediate,Partly Furnished
Mont Kiara,1450000.0,2257.0,4,3,0,Condominium,Intermediate,Fully Furnished
Mont Kiara,730000.0,1268.0,4,3,0,Condominium,Intermediate,Partly Furnished
Mont Kiara,1080000.0,1690.0,4,3,1,Condominium,Standard,Fully Furnished
Mont Kiara,1310000.0,1838.0,4,3,0,Condominium,Standard,Partly Furnished
Mont Kiara,1900000.0,2411.0,4,5,0,Condominium,Standard,Partly Furnished
Mont Kiara,950000.0,1448.0,4,3,2,Condominium,Standard,Fully Furnished
Mont Kiara,1150000.0,1605.0,4,4,0,Condominium,Standard,Fully Furnished
Mont Kiara,1680000.0,2025.0,4,4,0,Condominium,Intermediate,Partly Furnished
Mont Kiara,1370000.0,2028.0,2,3,2,Condominium,Standard,Partly Furnished
Mont Kiara,950000.0,1500.0,4,3,0,Condominium,Standard,Fully Furnished
Mont Kiara,820000.0,1280.0,3,2,0,Condominium,Standard,Partly Furnished
Mont Kiara,1050000.0,1787.0,5,4,0,Condominium,Standard,Partly Furnished
Mont Kiara,720000.0,1238.0,4,3,0,Condominium,Intermediate,Fully Furnished
Mont Kiara,700000.0,1248.0,3,2,2,Serviced Residence,Intermediate,Partly Furnished
Mont Kiara,1400000.0,2163.0,4,3,0,Condominium,Intermediate,Partly Furnished
Setapak,350000.0,947.0,3,2,1,Condominium,Intermediate,Partly Furnished
Jalan Klang Lama (Old Klang Road),688000.0,1164.0,2,2,0,Condominium,Intermediate,Partly Furnished
Setapak,550000.0,1600.0,4,2,2,Condominium,Standard,Partly Furnished
KLCC,980000.0,753.0,1,1,0,Condominium,Corner,Fully Furnished
KLCC,1950000.0,1299.0,3,2,0,Serviced Residence,Standard,Fully Furnished
KLCC,1400000.0,850.0,0,1,0,Condominium,Intermediate,Fully Furnished
KLCC,1150000.0,850.0,1,1,1,Condominium,Standard,Fully Furnished
KLCC,830000.0,753.0,1,2,0,Serviced Residence,Standard,Partly Furnished
KLCC,1350000.0,850.0,0,1,0,Condominium,Intermediate,Fully Furnished
KLCC,1549000.0,1347.0,3,2,0,Serviced Residence,Standard,Partly Furnished
KLCC,1200000.0,850.0,1,1,1,Condominium,Standard,Fully Furnished
KLCC,1700000.0,1206.0,2,2,1,Serviced Residence,Standard,Fully Furnished
KLCC,1400000.0,907.0,2,2,0,Serviced Residence,Standard,Fully Furnished
KLCC,2000000.0,2098.0,4,3,0,Serviced Residence,Standard,Partly Furnished
KLCC,1200000.0,635.0,2,1,0,Serviced Residence,Standard,Fully Furnished
KLCC,3000000.0,2505.0,4,5,0,Condominium,Standard,Partly Furnished
KLCC,1443000.0,1030.0,3,2,0,Serviced Residence,Standard,Fully Furnished
KLCC,1900000.0,1299.0,3,2,1,Serviced Residence,Standard,Fully Furnished
KLCC,1820000.0,1299.0,3,2,2,Serviced Residence,Standard,Fully Furnished
